Día,Acciones de Negocio,Desarrollo Personal y Mentalidad
Día 1: Definición de Nicho y Objetivo,"1. Define tu nicho específico (quién, qué problema, qué resultado). 2. Define tu avatar ideal (demografía, dolores, deseos, objeciones). 3. Define tu objetivo de ingresos a 30/90/365 días. 3. Escribe tu 'Por qué' profundo (propósito).","1. Journaling: ¿Por qué este negocio? ¿Qué vida quiero? 2. Define 3 valores inquebrantables. 3. Meditación 10 min: visualiza tu día ideal dentro de 1 año."
Día 2: Investigación y Validación de Mercado,"1. Entrevista a 5-10 avatares ideales (llamadas de 15-20 min). Preguntas: mayor dolor, solución ideal, qué han probado, qué pagarían. 2. Analiza 5-10 competidores: oferta, precio, promesa, gaps. 3. Busca palabras clave (Google Trends, AnswerThePublic, AnswerSocrates).","1. Journaling: ¿Qué miedos aparecen al hablar con desconocidos? 2. Lee 10 páginas de 'The Mom Test' (Rob Fitzpatrick) o 'The Mom Test' résumé. 3. Camina 30 min sin teléfono: observa tus pensamientos."
Día 3: Validación de la Oferta (Smoke Test),"1. Crea una 'Offer One-Pager': Avatar, Problema, Promesa, Mecanismo único, Precio, Garantía, Bonos. 2. Crea una Landing Page sencilla (Carrd, Carrd, Notion + Super, Carrd.co) con formulario de lista de espera/pre-venta. 3. Lanza a tu lista de contactos / 20 contactos directos / $20-50 en ads. Meta: 10-20 leads o 1-2 pre-ventas.","1. Journaling: ¿Qué resistencia siento al pedir la venta? 2. Lee 'The Mom Test' cap. 'The Mom Test' (cap. 3-4). 3. Frío/ducha fría 2 min: exposición al malestar controlado."
Día 4: Definición de la Oferta Irresistible,"1. Define tu 'Mecanismo Único' (tu método propietario). 2. Estructura la oferta: Core Product + Bonos + Garantía + Soporte. 3. Define precio (ancla alto, pago único vs. recurrente). 4. Escribe tu 'Promesa Principal' (resultado medible + plazo + condición).","1. Journaling: ¿Qué me hace único? ¿Qué he superado que otros no? 2. Lee 'The 100M Offers' (Alex Hormozi) caps. 1-3. 3. Ejercicio: Escribe tu 'Obituario ideal' (qué quieres que digan de ti)."
Día 5: Creación del MVP (Producto Mínimo Viable),"1. Define el alcance mínimo del MVP (curso mini, plantilla, taller en vivo, consultoría 1:1 pilot). 2. Crea outline del contenido (módulos, lecciones, entregables). 3. Graba/produce Módulo 0 (Bienvenida) + Módulo 1. 3. Sube a plataforma (Notion, Notion, Gumroad, Kajabi, School, Circle).","1. Journaling: Perfeccionismo vs. Progreso. ¿Qué significa 'hecho es mejor que perfecto' para mí? 2. Lee 'Atomic Habits' (James Clear) Cap. 1-2 (Sistemas vs Metas, Hábitos basados en identidad). 3. Ejercicio: Define tu 'Identidad de Emprendedor Exitoso' (Yo soy alguien que...)."
Día 6: Sistema de Captura de Leads (Lead Magnet + Embudo), "1. Crea Lead Magnet (PDF, Checklist, Mini-curso, Plantilla, Mini-taller gratis) que resuelva un micro-problema del avatar. 2. Configura Landing Page de captura (ConvertKit, Kit, Beehiiv, MailerLite, Systeme.io). 3. Configura secuencia de bienvenida (5 emails: Entrega + Historia + Autoridad + Caso de estudio + Oferta suave). 3. Instala píxel/Meta Pixel / GA4.","1. Journaling: ¿Qué historia personal conecta con el dolor de mi avatar? 2. Lee 'Expert Secrets' (Russell Brunson) Cap. 'The Epiphany Bridge'. 3. Práctica: Graba 1 min de video hablando a cámara (sin editar) sobre tu 'por qué'."
Día 7: Lanzamiento Suave (Soft Launch) a Lista de Espera / Contactos,"1. Envía email de lanzamiento a lista de espera/contactos: Historia + Oferta + Escasez real (plazas/bono por tiempo). 2. Realiza llamadas de cierre / VSL a interesados (meta: 3-5 ventas beta). 3. Onboard a primeros clientes beta (onboarding doc, acceso, expectativas). 3. Recoge feedback inmediato (Formulario Typeform/Google Forms).","1. Journaling: Revisión semanal: ¿Qué funcionó? ¿Qué no? ¿Qué aprendí? ¿Qué ajustaré? 2. Revisa métricas: Leads, Llamadas, Ventas, Feedback. 3. Planifica semana 2: 3 prioridades absolutas. 4. Descansa: Día sin pantallas (o mínimo 4h)."
Día 8: Onboarding y Entrega Excepcional (Semana 2 - Entrega),"1. Onboarding estructurado: Welcome pack, Mapa de ruta, Accesos, Expectativas, Próximo paso. 2. Entrega Módulo 1-2 (si curso) / Sesión 1-2 (si consulting/coaching). 3. Check-in día 3 y 7 con clientes beta (formulario corto + llamada 15 min opcional). 3. Documenta todo: FAQs, obstáculos comunes, mejoras.","1. Journaling: ¿Cómo me siento sirviendo a mis primeros clientes? ¿Miedo a defraudar? 2. Lee 'The E-Myth Revisited' (Gerber) - Cap. 'The Turn-Key Revolution'. 3. Ejercicio: Define tu 'Proceso de Entrega Estándar' (checklist paso a paso)."
Día 9: Recopilación de Testimonios y Casos de Estudio,"1. Envía formulario de testimonio guiado (Preguntas: Situación antes, Por qué compró, Resultado, Qué le gustó, A quién recomendaría). 2. Entrevista a 1-2 clientes beta para Case Study profundo (Antes/Después, Métricas, Proceso). 3. Edita y formatea testimonios (video/texto + foto + resultado).","1. Journaling: Síndrome del impostor - escríbelo, raciónalo, refrámalo. 2. Lee 'Building a StoryBrand' (Miller) - Cap. 'The Character'. 3. Práctica gratitud: Escribe 3 logros de la semana (por pequeños que sean)."
Día 10: Refinamiento de Oferta y Precio (Basado en Datos),"1. Analiza feedback: ¿Qué valora más? ¿Qué falta? ¿Objeciones repetidas? 2. Ajusta oferta: Añade/quita módulos, ajusta bonos, refina promesa, sube precio si valor > precio. 3. Actualiza One-Pager, VSL, Página de ventas. 3. Define tu 'Valor de Vida del Cliente' (LTV) objetivo.","1. Journaling: Revisión de precios - ¿Cobro poco por miedo? 2. Lee '100M Offers' Cap. 'Grand Slam Offer' (Grand Slam Offer Checklist). 3. Ejercicio: Escribe tu 'Garantía Incondicional' (reversa el riesgo)."
Día 11: Construcción de Autoridad y Contenido (Content Engine),"1. Define 3 Pilares de Contenido (Educativo, Autoridad, Personal/Historia). 2. Elige 1 Plataforma Principal (LinkedIn, X/Twitter, Instagram, YouTube, TikTok, Newsletter). 2. Crea Calendario Editorial 30 días (3 posts/semana + 1 newsletter/semana). 3. Produce Lote 1: 6 piezas de contenido (Batching).","1. Journaling: Miedo a la exposición / juicio. Escribe el peor caso y el mejor caso. 2. Lee 'Show Your Work' (Austin Kleon) - Cap. 1-3. 3. Graba 1 Reel/TikTok/Short sin editar (práctica de exposición)."
Día 12: Lanzamiento de Contenido + Outreach Orgánico,"1. Publica primera pieza pilar (Artículo largo / Video largo / Hilo / Newsletter). 2. Outreach orgánico: 10-20 DMs/comentarios genuinos a avatares ideales / compañeros de nicho (sin pitch, valor + pregunta). 3. Responde a TODOS los comentarios en 1h. 3. Reutiliza contenido: Trocea video largo -> 3 Shorts/Reels + 1 Hilo + 1 Newsletter.","1. Journaling: ¿Cómo me siento poniendo mi voz ahí fuera? 2. Lee 'The 1-Page Marketing Plan' (Dib) - Cap. 'During Phase: Lead Capture'. 3. Camina 30 min: Reflexiona sobre tu 'Voz Única'."
Día 13: Sistema de Ventas (VSL / Webinar / Llamada), "1. Define tu Mecanismo de Venta principal: VSL (Video Sales Letter) / Webinar Automático / Llamada de Diagnóstico / Página de Ventas Larga (VSL escrita). 2. Escribe guion VSL/Webinar (Gancho -> Historia/Origen -> Descubrimiento/Mecanismo -> Prueba -> Oferta -> CTA). 3. Graba VSL o prepara Deck Webinar. 3. Configura página de ventas + carrito (Stripe/Thrivecart/Gumroad/Stripe).","1. Journaling: Revisión quincenal: Métricas (Leads, Citas, Ventas, Ingresos, CAC). ¿Qué patrones veo? 2. Lee 'Expert Secrets' (Brunson) - Cap. 'The Perfect Webinar'. 3. Práctica: Graba tu VSL/Webinar completo (ensayo general)."
Día 14: Optimización y Automatización (Sistemas),"1. Configura automatizaciones: Lead Magnet -> Email Seq -> VSL/Webinar -> Carrito -> Onboarding. 2. Configura CRM simple (Airtable, Notion, HubSpot Free, GoHighLevel, Close). 3. Crea SOPs (Procedimientos Operativos Estándar): Onboarding, Entrega, Soporte, Ventas. 3. Revisa métricas: Opt-in rate, Show-up rate, Close rate, CAC.","1. Journaling: Revisión quincenal personal: Energía, Enfoque, Hábitos, Relaciones. 2. Lee 'The E-Myth Revisited' - Cap. 'Working ON your business'. 3. Define tu 'Día Ideal de CEO' (Time-blocking ideal)."
Día 15: Tráfico de Pago (Paid Ads) - Inicio Pequeño,"1. Define tu Oferta de Frente (Front-end) para ads: Lead Magnet / Low-ticket ($27-$97) / VSL Gratis. 2. Configura BM + Pixel + Eventos (Meta Ads / Google Ads / TikTok Ads). 3. Crea 3 Creativos (Imagen/Video UGC style + Copy Gancho + CTA). 4. Lanza Campaña Prueba: $10-20/día / Conjunto de anuncios: 2-3 Intereses / Lookalike 1% (si 100+ compradores). Meta: CPL < $X, CPA < $X.","1. Journaling: Relación con el dinero / riesgo. ¿Qué siento al gastar en ads? 2. Lee 'Cashvertising' (Whitman) - Cap. 'The 17 Foundational Principles'. 3. Revisión financiera semanal: Ingresos, Gastos, Flujo de caja, Runway."
Día 16: Optimización de Anuncios y Embudo,"1. Revisa métricas día 3-4: CTR, CPC, CPL, Hook Rate, Hold Rate. 2. Apaga lo que no funciona. Itera creativos (Gancho visual + Gancho copia). 3. Optimiza Landing Page: Claridad, Velocidad, Prueba Social, CTA claro. 3. Test A/B: Headline, Imagen Hero, CTA. Meta: CAC < 1/3 LTV objetivo.","1. Journaling: Análisis de datos vs. Emociones. ¿Reacciono o respondo? 2. Lee 'Scientific Advertising' (Hopkins) - Cap. 1-3 (Leyes del marketing directo). 3. Ejercicio: Escribe 10 headlines nuevos para tu mejor creativo."
Día 17: Escalado de Tráfico y Diversificación,"1. Escala ganadores: Aumenta presupuesto 20% c/ 2-3 días (regla 20%). 2. Expande audiencias: Lookalikes 1%, 3%, Intereses amplios, Broad. 3. Prueba nueva plataforma (TikTok / YouTube / Google Search / Pinterest). 3. Implementa Retargeting: Video viewers 50%/75%, Web visitors, Add to cart / Initiate checkout.","1. Journaling: Revisión quincenal 2: ¿Estoy construyendo un negocio o un trabajo? 2. Lee 'Buy Back Your Time' (Dan Martell) - Cap. 'The Buyback Loop'. 3. Define 1 tarea para delegar/automatizar esta semana."
Día 18: Email Marketing y Nutrición (Backend),"1. Limpia lista: Elimina inactivos 60-90 días. 2. Segmenta: Leads fríos, Leads calientes (VSL vistos), Clientes. 3. Escribe Secuencia 'Seinfeld' / Daily-ish (Entretenimiento + Lección + Soft Pitch) para lista general. 4. Crea Campaña de Recuperación Carrito Abandonado (3-5 emails). 3. Añade Broadcast semanal (Newsletter valor + Oferta suave).","1. Journaling: ¿Cómo nutro mi mente? (Libros, mentores, entorno). 2. Lee 'Email Marketing Rules' (Ben Settle) / 'The Email Lifeline' (Mcmillan). 3. Escribe 3 emails 'Seinfeld' (historia personal + lección + enlace suave)."
Día 19: Programa de Referidos y Alianzas,"1. Diseña Programa de Referidos: Incentivo referidor + Incentivo referido (Crédito, % descuento, Bono exclusivo). 2. Automatiza: Enlace único, Seguimiento, Pago automático (FirstPromoter, Rewardful, PartnerStack, AffiliateWP). 3. Identifica 10-20 Socios Potenciales (Newsletters, Creadores, Agencias complementarias). Propón: Bundle / Webinar conjunto / Affiliate / Cross-promo.","1. Journaling: Miedo a pedir / Reciprocidad. 2. Lee 'The Go-Giver' (Burg & Mann) - Leyes 1-3. 3. Escribe 3 plantillas de outreach para socios (Valor primero)."
Día 20: Creación de Producto Escalable (Backend / High-Ticket),"1. Analiza: ¿Qué resultado siguiente necesitan mis clientes? (Avanzado, Implementación hecha por ti, Comunidad, Certificación). 2. Diseña Oferta Backend: High-Ticket ($2k-$10k+) / Continuidad ($97-$297/mes). 3. Crea Outline / Piloto Beta (5-10 personas, precio founder). 3. Valida con clientes actuales (Encuesta + Llamadas).","1. Journaling: Revisión mensual (Día 20 ~ Mes 1): Ingresos, Clientes, CAC, LTV, MRR, Churn, Horas trabajadas. 2. Revisa 'Día Ideal CEO' vs Realidad. Ajusta Time-blocking. 3. Lee 'Who Not How' (Sullivan & Hardy) - Cap. 1-2."
Día 21: Contratación / Delegación (Primer Freelancer/VA),"1. Lista tareas: Repetibles, Que drenan energía, Que no son tu 'Zona de Genio'. 2. Crea JD (Job Description) para VA / Editor video / Copywriter / Ads Manager / Soporte. 3. Publica (OnlineJobs.ph, Upwork, Fiverr Pro, Referidos, Twitter/X). 4. Test pagado pequeño (1 tarea). 3. Documenta SOP + Loom video para la tarea.","1. Journaling: Liderazgo vs. Hacer. Miedo a delegar / Perfeccionismo. 2. Lee 'Buy Back Your Time' Cap. 'The Replacement Ladder'. 3. Define tus 'No negociables' de CEO (Tiempo familia, Salud, Aprendizaje, Estrategia)."
Día 22: Optimización de Conversión (CRO) Embudo Completo,"1. Auditoría Embudo Completo: Tráfico -> Lead -> VSL/Webinar -> Carrito -> Compra -> Onboarding. 2. Identifica el mayor cuello de botella (Menor % conversión). 3. Implementa 1 Experimento CRO/semana: Headline LP, Headline VSL, Orden bump, Upsell, Checkout simplificado, Prueba social, Garantía. 3. Herramientas: Hotjar/Clarity, GA4, Funnel analytics (Funnelytics, GA4 Funnels).","1. Journaling: Decisiones basadas en datos vs ego. 2. Lee 'Don't Make Me Think' (Krug) - Usabilidad web. 3. Ejercicio: Graba tu pantalla navegando tu propio embudo como cliente nuevo (User Testing casero)."
Día 22,Desarrollo Personal: Mentalidad de Crecimiento y Resiliencia,"1. Journaling: Revisión de 3 semanas: ¿Cuál ha sido mi mayor obstáculo interno? ¿Cómo lo he gestionado? 2. Identifica tu 'Cuello de botella personal' actual (Miedo, Perfeccionismo, Falta de foco, Síndrome impostor, Desorganización). 3. Crea 'Protocolo de Obstáculo': Disparador -> Acción concreta (ej. 'Si siento miedo a publicar -> Grabo 1 min sin editar y publico').","1. Lee 'Mindset' (Carol Dweck) - Cap. 1-2 (Mentalidad Fija vs Crecimiento). 2. Practica 'Reencuadre Cognitivo': Escribe 3 creencias limitantes -> Evidencia en contra -> Nueva creencia potenciadora. 3. 20 min movimiento intenso (HIIT/Correr/Pesas): Estado físico -> Estado mental."
Día 23: Contenido Evergreen y SEO (Activos a Largo Plazo),"1. Investiga 20 Keywords 'Long-tail' (Baja dificultad, Intención comercial/educativa) - Ahrefs/SEMrush/Ubersuggest/Google Keyword Planner. 2. Escribe 2 Artículos Pilares (2500-3000 palabras) / Graba 2 Videos YouTube Evergreen (10-15 min, SEO title/desc/tags). 3. Optimiza On-page: H1, H2, Meta, Schema, Enlazado interno, Imágenes WebP. 3. Plan de Link Building: 5 Guest posts / HARO / Resource pages / Enlaces rotos.","1. Journaling: Juego largo vs. Cortoplacismo. Paciencia compuesta. 2. Lee 'The Compound Effect' (Darren Hardy) - Cap. 1-3. 3. Define tu 'Hábito Keystone' (El que arrastra al resto): Ej. Sueño 7.5h, Lectura 30min, Ejercicio, Planificación noche anterior."
Día 24: Webinar / Lanzamiento en Vivo (Evento de Ventas),"1. Planifica Webinar en Vivo (Fecha: Día 27-28): Tema 'Cómo [Resultado] sin [Dolor/Obstáculo]'. 2. Crea Página Registro + Secuencia Recordatorios (SMS/Email/WA). 3. Prepara Deck (90 min): Gancho -> Historia -> Cambio de Paradigma -> Mecanismo -> Casos -> Oferta -> FAQ -> CTA + Urgencia. 4. Ensaya 2x completo. Promociona a Lista + Ads Retargeting + Orgánico.","1. Journaling: Miedo a hablar en vivo / Vender en vivo. Visualización: Sala llena, gente comprando, tú sirviendo. 2. Lee 'Expert Secrets' - Cap. 'The Perfect Webinar' (Repaso). 3. Práctica: Graba apertura (5 min) y cierre (10 min) - Pide feedback a mentor/compañero."
Día 25: Automatización Avanzada y CRM,"1. Implementa Puntuación de Leads (Lead Scoring): Apertura emails, Clicks, Páginas visitadas, VSL visto %, Formulario completado. 2. Automatiza: Lead caliente -> Tarea CRM para Llamada / Secuencia 'Fast-track' / Alerta Slack/Email. 3. Limpia CRM: Etapas claras (Lead, MQL, SQL, Oportunidad, Cliente, Evangélico). 3. Dashboard Semanal Automatizado (Databox / Google Sheets + Supermetrics / Notion Charts).","1. Journaling: ¿Dónde pierdo tiempo en tareas de $10/hora? 2. Lee 'The 4-Hour Workweek' (Ferriss) - Cap. 'Elimination' & 'Automation' (Filosofía, no literal). 3. Audita tus suscripciones SaaS: Cancela lo que no usa / ROI negativo."
Día 26: Finanzas, Métricas y Proyección (CFO Mindset),"1. Cierra Mes 1 Contable: Ingresos (Stripe/PayPal), Gastos (Ads, Tools, Freelancers, Impuestos estimados), Beneficio Neto, Margen. 2. Calcula: CAC, LTV, LTV:CAC, Payback Period, Churn (si recurrencia), MRR/ARR. 3. Proyección Mes 2-3: Escenario Conservador / Realista / Optimista. 4. Reserva Impuestos (Cuenta separada %). 3. Define Presupuesto Mes 2 (Ads, Equipo, Tools, Formación).","1. Journaling: Relación con dinero / Merecimiento / Abundancia. 2. Lee 'Profit First' (Michalowicz) - Cap. 1-3 (Sistema de cuentas). 3. Configura 'Profit First' básico: Cuentas: Ingresos, Ganancia, Impuestos, OpEx, Sueldo Dueño. Primera distribución (jueves/viernes)."
Día 27: Lanzamiento en Vivo (D-Day) / Ejecución Pico,"1. EJECUTA WEBINAR EN VIVO / LANZAMIENTO. 2. Equipo de soporte: Chat moderado, Preguntas frecuentes preparadas, Enlace carrito en chat/email. 3. Seguimiento POST-Evento Inmediato (0-24h): Email replay + Oferta + Escasez (Bono expira 48h). 4. Secuencia 'Última oportunidad' (3 emails + SMS/WA). 3. Ventas por teléfono/Zoom a indecisos calientes.","1. Ritual Pre-Lanzamiento: 20 min Meditación / Visualización / Respiración (Wim Hof / Box Breathing). 2. Mantra: 'Sirvo, no vendo. El resultado es el subproducto.' 3. Durante el día: Hidratación, Comidas reales, Pausas 5 min c/ hora. 4. Post-evento: Descansa 2h sin pantallas antes de revisar métricas."
Día 28: Análisis Post-Lanzamiento y Estabilización,"1. Dashboard Post-Lanzamiento: Ingresos totales, Unidades, Conversión Webinar, Conversión Email, Reembolsos, Feedback. 2. Entrevista a 3-5 compradores nuevos (Onboarding call 15 min). 3. Entrevista a 3-5 No-compradores (Encuesta corta: ¿Por qué no?). 3. Decide: Evergreenizar Webinar / Iterar Oferta / Nuevo Lanzamiento Mes 3. Documenta Lecciones Aprendidas (Post-mortem).","1. Journaling: Celebración real (escribe 10 logros del mes). Procesa emociones post-lanzamiento (euforia/bajada). 2. Lee 'The Gap and The Gain' (Sullivan & Hardy) - Enfoque en 'The Gain'. 3. Descanso activo: Naturaleza, Deporte, Familia, Aficiones (0 trabajo)."
Día 29: Planificación Mes 2 - Escalado Sistemático,"1. Define Objetivo Mes 2 (Ingresos, Clientes, Métrica Norte). 2. Elige 1 Palanca de Crecimiento Principal (Tráfico, Conversión, Valor, Frecuencia, Retención, Referidos). 3. Planifica 4 Semanas: Temas contenido, Ofertas, Lanzamientos, Contrataciones, Tests Ads. 3. Revisa y Ajusta SOPs. 4. Comunica plan a Equipo/Freelancers (Reunión 30 min).","1. Journaling: Revisión Mensual Completa (Negocio + Personal). Rueda de la Vida (Negocio, Salud, Relaciones, Finanzas, Crecimiento, Diversión, Espiritualidad, Entorno). 2. Define 3 Hábitos 'No Negociables' Mes 2. 3. Lee 'Atomic Habits' Cap. 'The Goldilocks Rule' (Mantener motivación)."
Día 30: Celebración, Documentación y Próximos Pasos,"1. Documenta 'Playbook Mes 1': Qué funcionó, Qué no, Métricas clave, SOPs finales, Plantillas, Guiones, Presupuestos. 2. Crea 'Manual de Operaciones' v1.0 (Notion/GDrive). 3. Graba Loom 'Estado del Negocio Mes 1' para ti futuro / mentor / inversor. 4. Agenda Revisión Trimestral (Día 90). 3. ¡CELEBRA! (Cena, Regalo, Experiencia, Compartir logro).","1. Journaling: Carta a tu 'Yo del Día 1' (Qué le dirías). Carta a tu 'Yo del Día 365' (Quién eres). 2. Ritual de Cierre: Quema/Escribe/Suelta miedos del mes. Planta intenciones Mes 2. 3. Descanso profundo: Fin de semana 'Off-grid' o 'Low-tech'. 4. Gratitud: Lista 50 cosas por las que estás agradecido (Negocio, Vida, Personas, Tú)."